ip,port
192.168.202.79,37775
192.168.202.79,60575
192.168.202.79,45208
192.168.202.79,45212
192.168.202.79,37786
192.168.202.79,60586
192.168.202.79,37791
192.168.202.79,60591
192.168.202.79,45225
192.168.202.79,45228
192.168.202.79,37802
192.168.202.79,60602
192.168.202.79,37807
192.168.202.79,60607
192.168.202.79,45240
192.168.202.79,45244
192.168.202.79,37818
192.168.202.79,60618
192.168.202.79,37823
192.168.202.79,60623
192.168.202.79,45256
192.168.202.79,45260
192.168.202.79,37834
192.168.202.79,60634
192.168.202.79,37839
192.168.202.79,60639
192.168.202.79,45272
192.168.202.79,45276
192.168.202.79,37850
192.168.202.79,60650
192.168.202.79,37855
192.168.202.79,60655
192.168.202.79,45289
192.168.202.79,45292
192.168.202.79,37866
192.168.202.79,60666
192.168.202.79,37872
192.168.202.79,60671
192.168.202.79,45304
192.168.202.79,45308
192.168.202.79,37882
192.168.202.79,60682
192.168.202.79,37887
192.168.202.79,60687
192.168.202.79,45320
192.168.202.79,45324
192.168.202.79,37898
192.168.202.79,60698
192.168.202.79,37903
192.168.202.79,60703
192.168.202.79,45336
192.168.202.79,45340
192.168.202.79,37914
192.168.202.79,60714
192.168.202.79,37920
192.168.202.79,60719
192.168.202.79,45352
192.168.202.79,45356
192.168.202.79,37930
192.168.202.79,60730
192.168.202.79,37935
192.168.202.79,60735
192.168.202.79,45368
192.168.202.79,45372
192.168.202.79,37946
192.168.202.79,60746
192.168.202.79,37951
192.168.202.79,60751
192.168.202.79,45384
192.168.202.79,45388
192.168.202.79,37962
192.168.202.79,60762
192.168.202.79,37967
192.168.202.79,60767
192.168.202.79,45400
192.168.202.79,45404
192.168.202.79,37978
192.168.202.79,60778
192.168.202.79,37984
192.168.202.79,60783
192.168.202.79,45417
192.168.202.79,45420
192.168.202.79,37994
192.168.202.79,60794
192.168.202.79,37999
192.168.202.79,60799
192.168.202.79,45432
192.168.202.79,45436
192.168.202.79,38010
192.168.202.79,60810
192.168.202.79,38016
192.168.202.79,60815
192.168.202.79,45448
192.168.202.79,45452
192.168.202.79,38026
192.168.202.79,60827
192.168.202.79,38031
192.168.202.79,60831
192.168.202.79,45465
192.168.202.79,45468
192.168.202.79,38043
192.168.202.79,60843
192.168.202.79,38047
192.168.202.79,60847
192.168.202.79,45481
192.168.202.79,45485
192.168.202.79,38059
192.168.202.79,38062
192.168.202.79,60860
192.168.202.79,60863
192.168.202.79,45497
192.168.202.79,45501
192.168.202.79,38076
192.168.202.79,38077
192.168.202.79,60878
192.168.202.79,60879
192.168.202.79,45513
192.168.202.79,38089
192.168.202.79,45518
192.168.202.79,38094
192.168.202.79,60894
192.168.202.79,60895
192.168.202.79,45529
192.168.202.79,38103
192.168.202.79,45536
192.168.202.79,60907
192.168.202.79,38111
192.168.202.79,60911
192.168.202.79,45544
192.168.202.79,38119
192.168.202.79,60921
192.168.202.79,45553
192.168.202.79,38128
192.168.202.79,60927
192.168.202.79,45561
192.168.202.79,38135
192.168.202.79,60935
192.168.202.79,45569
192.168.202.79,38144
192.168.202.79,60943
192.168.202.79,45577
192.168.202.79,38152
192.168.202.79,60951
192.168.202.79,45585
192.168.202.79,38160
192.168.202.79,60959
192.168.202.79,45592
192.168.202.79,38167
192.168.202.79,60967
192.168.202.79,45601
192.168.202.79,38176
192.168.202.79,60975
192.168.202.79,45609
192.168.202.79,38184
192.168.202.79,60983
192.168.202.79,45617
192.168.202.79,38192
192.168.202.79,60991
192.168.202.79,45625
192.168.202.79,38199
192.168.202.79,60999
192.168.202.79,45633
192.168.202.79,38208
192.168.202.79,32774
192.168.202.79,45641
192.168.202.79,38215
192.168.202.79,32782
192.168.202.79,45649
192.168.202.79,38224
192.168.202.79,32790
192.168.202.79,45657
192.168.202.79,38231
192.168.202.79,32798
192.168.202.79,45665
192.168.202.79,38240
192.168.202.79,32806
192.168.202.79,45672
192.168.202.79,38247
192.168.202.79,32814
192.168.202.79,45681
192.168.202.79,38256
192.168.202.79,32822
192.168.202.79,45688
192.168.202.79,38263
192.168.202.79,32830
192.168.202.79,45697
192.168.202.79,38272
192.168.202.79,32838
192.168.202.79,45704
192.168.202.79,38279
192.168.202.79,32846
192.168.202.79,45713
192.168.202.79,38288
192.168.202.79,32854
192.168.202.79,45720
192.168.202.79,38296
192.168.202.79,32862
192.168.202.79,45729
192.168.202.79,38304
192.168.202.79,32870
192.168.202.79,45736
192.168.202.79,38311
192.168.202.79,32878
192.168.202.79,45745
192.168.202.79,38320
192.168.202.79,32886
192.168.202.79,45753
192.168.202.79,38327
192.168.202.79,32894
192.168.202.79,45761
192.168.202.79,38336
192.168.202.79,32902
192.168.202.79,45768
192.168.202.79,38344
192.168.202.79,32910
192.168.202.79,45777
192.168.202.79,38352
192.168.202.79,32918
192.168.202.79,45784
192.168.202.79,38359
192.168.202.79,32926
192.168.202.79,45793
192.168.202.79,38368
192.168.202.79,32934
192.168.202.79,45801
192.168.202.79,38375
192.168.202.79,32942
192.168.202.79,45809
192.168.202.79,38384
192.168.202.79,32950
192.168.202.79,45816
192.168.202.79,38391
192.168.202.79,32958
192.168.202.79,45825
192.168.202.79,38400
192.168.202.79,32966
192.168.202.79,45833
192.168.202.79,38408
192.168.202.79,32974
192.168.202.79,45841
192.168.202.79,38417
192.168.202.79,32982
192.168.202.79,45849
192.168.202.79,38423
192.168.202.79,32990
192.168.202.79,45859
192.168.202.79,38432
192.168.202.79,32998
192.168.202.79,45864
192.168.202.79,38439
192.168.202.79,33006
192.168.202.79,45873
192.168.202.79,38448
192.168.202.79,33014
192.168.202.79,45881
192.168.202.79,38455
192.168.202.79,33022
192.168.202.79,45889
192.168.202.79,38464
192.168.202.79,33030
192.168.202.79,45897
192.168.202.79,38472
192.168.202.79,33038
192.168.202.79,45905
192.168.202.79,38480
192.168.202.79,33046
192.168.202.79,45912
192.168.202.79,38487
192.168.202.79,33054
192.168.202.79,45921
192.168.202.79,38496
192.168.202.79,33062
192.168.202.79,45929
192.168.202.79,38504
192.168.202.79,33070
192.168.202.79,45937
192.168.202.79,38512
192.168.202.79,33078
192.168.202.79,45945
192.168.202.79,38520
192.168.202.79,33086
192.168.202.79,45953
192.168.202.79,38528
192.168.202.79,33094
192.168.202.79,45960
192.168.202.79,38535
192.168.202.79,33102
192.168.202.79,45969
192.168.202.79,38544
192.168.202.79,33110
192.168.202.79,45976
192.168.202.79,38551
192.168.202.79,33118
192.168.202.79,45985
192.168.202.79,38560
192.168.202.79,33126
192.168.202.79,45992
192.168.202.79,38567
192.168.202.79,33134
192.168.202.79,46001
192.168.202.79,38576
192.168.202.79,33142
192.168.202.79,46008
192.168.202.79,38583
192.168.202.79,33150
192.168.202.79,46017
192.168.202.79,38592
192.168.202.79,33158
192.168.202.79,46025
192.168.202.79,38600
192.168.202.79,33166
192.168.202.79,46033
192.168.202.79,38608
192.168.202.79,33174
192.168.202.79,46041
192.168.202.79,38615
192.168.202.79,33182
192.168.202.79,46049
192.168.202.79,38624
192.168.202.79,33190
192.168.202.79,46056
192.168.202.79,38631
192.168.202.79,33198
192.168.202.79,46065
192.168.202.79,38640
192.168.202.79,33206
192.168.202.79,46072
192.168.202.79,38647
192.168.202.79,33214
192.168.202.79,46081
192.168.202.79,38656
192.168.202.79,33222
192.168.202.79,46089
192.168.202.79,38663
192.168.202.79,33230
192.168.202.79,46097
192.168.202.79,38672
192.168.202.79,33238
192.168.202.79,46104
192.168.202.79,38680
192.168.202.79,33246
192.168.202.79,46113
192.168.202.79,38688
192.168.202.79,33254
192.168.202.79,46120
192.168.202.79,38696
192.168.202.79,33262
192.168.202.79,46129
192.168.202.79,38704
192.168.202.79,33270
192.168.202.79,46137
192.168.202.79,38711
192.168.202.79,33278
192.168.202.79,46145
192.168.202.79,38720
192.168.202.79,33286
192.168.202.79,46152
192.168.202.79,38727
192.168.202.79,33294
192.168.202.79,46161
192.168.202.79,38736
192.168.202.79,33302
192.168.202.79,46168
192.168.202.79,38744
192.168.202.79,33310
192.168.202.79,46177
192.168.202.79,38752
192.168.202.79,33318
192.168.202.79,46185
192.168.202.79,38760
192.168.202.79,33326
192.168.202.79,46193
192.168.202.79,38768
192.168.202.79,33334
192.168.202.79,46200
192.168.202.79,38775
192.168.202.79,33342
192.168.202.79,46209
192.168.202.79,38784
192.168.202.79,33350
192.168.202.79,46216
192.168.202.79,38791
192.168.202.79,33358
192.168.202.79,46225
192.168.202.79,38800
192.168.202.79,33366
192.168.202.79,46233
192.168.202.79,38807
192.168.202.79,33374
192.168.202.79,46241
192.168.202.79,38816
192.168.202.79,33382
192.168.202.79,46248
192.168.202.79,38823
192.168.202.79,33390
192.168.202.79,38832
192.168.202.79,33398
192.168.202.79,46264
192.168.202.79,38839
192.168.202.79,33406
192.168.202.79,46273
192.168.202.79,38848
192.168.202.79,33414
192.168.202.79,46280
192.168.202.79,38855
192.168.202.79,33422
192.168.202.79,46289
192.168.202.79,38864
192.168.202.79,33430
192.168.202.79,46296
192.168.202.79,38871
192.168.202.79,33438
192.168.202.79,46305
192.168.202.79,38880
192.168.202.79,33446
192.168.202.79,46313
192.168.202.79,38888
192.168.202.79,33454
192.168.202.79,46321
192.168.202.79,38896
192.168.202.79,33462
192.168.202.79,46329
192.168.202.79,38903
192.168.202.79,33470
192.168.202.79,46337
192.168.202.79,38912
192.168.202.79,33478
192.168.202.79,46345
192.168.202.79,38919
192.168.202.79,33486
192.168.202.79,46353
192.168.202.79,38928
192.168.202.79,33494
192.168.202.79,46360
192.168.202.79,38935
192.168.202.79,33502
192.168.202.79,46369
192.168.202.79,38944
192.168.202.79,33510
192.168.202.79,46376
192.168.202.79,38951
192.168.202.79,33518
192.168.202.79,46385
192.168.202.79,38960
192.168.202.79,33526
192.168.202.79,46392
192.168.202.79,38968
192.168.202.79,33534
192.168.202.79,46401
192.168.202.79,38976
192.168.202.79,33542
192.168.202.79,46409
192.168.202.79,38984
192.168.202.79,33550
192.168.202.79,46417
192.168.202.79,38992
192.168.202.79,33558
192.168.202.79,46424
192.168.202.79,38999
192.168.202.79,33566
192.168.202.79,46433
192.168.202.79,39008
192.168.202.79,33574
192.168.202.79,46441
192.168.202.79,39016
192.168.202.79,33582
192.168.202.79,46449
192.168.202.79,39024
192.168.202.79,33590
192.168.202.79,46457
192.168.202.79,39032
192.168.202.79,33598
192.168.202.79,46465
192.168.202.79,39040
192.168.202.79,33606
192.168.202.79,46472
