1,2,3,4,5,6,7,8,9,10
07/25-18:05:24.083254, 30484, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:24.099306, 30518, TCP, stream_tcp, 16424, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.099306, 30518, TCP, stream_tcp, 16424, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:24.106352, 30533, TCP, stream_tcp, 16351, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.302725, 30791, TCP, stream_tcp, 16349, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.390932, 30919, TCP, stream_tcp, 16375, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.607782, 31247, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.660359, 31327, TCP, stream_tcp, 16332, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:24.667754, 31339, TCP, stream_tcp, 16326, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.674050, 31355, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:24.694933, 31372, TCP, stream_tcp, 16380, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.374104, 31622, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.476123, 31769, TCP, stream_tcp, 16337, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.699013, 32079, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.749743, 32161, TCP, stream_tcp, 16366, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:25.773717, 32175, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.781656, 32192, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:25.788273, 32206, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:25.966955, 32467, TCP, stream_tcp, 16348, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:26.057520, 32598, TCP, stream_tcp, 16351, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:26.757121, 32918, TCP, stream_tcp, 16439, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:26.838488, 33018, TCP, stream_tcp, 16409, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:26.838488, 33018, TCP, stream_tcp, 16409, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:26.864825, 33048, TCP, stream_tcp, 16360, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.044864, 33290, TCP, stream_tcp, 16359, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.155395, 33430, TCP, stream_tcp, 16380, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.370663, 33730, TCP, stream_tcp, 16357, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.423654, 33810, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:27.430295, 33828, TCP, stream_tcp, 16337, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.446416, 33845, TCP, stream_tcp, 16336, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:27.453725, 33860, TCP, stream_tcp, 16428, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:27.609225, 34105, TCP, stream_tcp, 16413, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.174012, 34247, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.436553, 34572, TCP, stream_tcp, 16330, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.507849, 34671, TCP, stream_tcp, 16378, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.521822, 34690, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:28.529963, 34701, TCP, stream_tcp, 16397, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.702046, 34950, TCP, stream_tcp, 16356, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:28.795471, 35098, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:29.011264, 35423, TCP, stream_tcp, 16398, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:29.070754, 35527, TCP, stream_tcp, 16340, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:29.070754, 35527, TCP, stream_tcp, 16340, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:29.090503, 35549, TCP, stream_tcp, 16430, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:29.782384, 35781, TCP, stream_tcp, 16334, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:29.888743, 35921, TCP, stream_tcp, 16428, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:30.114918, 36229, TCP, stream_tcp, 16402, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:30.177600, 36314, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:30.187129, 36330, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:30.195652, 36344, TCP, stream_tcp, 16390, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:30.209156, 36363, TCP, stream_tcp, 16399, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:30.381045, 36626, TCP, stream_tcp, 16424, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:30.464807, 36757, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.162252, 37071, TCP, stream_tcp, 16333, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.240709, 37149, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:31.253606, 37169, TCP, stream_tcp, 16360, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.262189, 37183, TCP, stream_tcp, 16388, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:31.266200, 37200, TCP, stream_tcp, 16413, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.458241, 37439, TCP, stream_tcp, 16419, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.556449, 37589, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
