ip,port
65.156.1.84,80
10.0.2.200,50171
10.0.2.200,50182
10.0.2.200,50198
10.0.2.200,50203
10.0.2.200,50237
10.0.2.200,50239
10.0.2.200,50257
10.0.2.200,50256
10.0.2.200,50268
10.0.2.200,50270
10.0.2.200,50305
10.0.2.200,50306
10.0.2.200,50310
10.0.2.200,50314
10.0.2.200,50318
10.0.2.200,50325
10.0.2.200,50326
10.0.2.200,50334
10.0.2.200,50353
10.0.2.200,50357
62.210.79.188,80
10.0.2.200,50359
10.0.2.200,50360
10.0.2.200,50361
10.0.2.200,50362
10.0.2.200,50363
10.0.2.200,50364
23.235.43.200,80
185.31.17.249,80
54.228.184.71,80
10.0.2.200,50403
10.0.2.200,50404
54.192.202.249,80
54.230.200.150,80
10.0.2.200,50414
173.241.240.212,80
10.0.2.200,50413
10.0.2.200,50422
10.0.2.200,50423
10.0.2.200,50424
54.192.200.227,80
10.0.2.200,50412
10.0.2.200,50428
10.0.2.200,50441
23.9.1.70,80
10.0.2.200,50540
10.0.2.200,50476
10.0.2.200,50558
104.96.142.82,80
10.0.2.200,50572
10.0.2.200,50573
10.0.2.200,50546
54.230.200.89,80
54.230.200.66,80
10.0.2.200,50584
10.0.2.200,50598
10.0.2.200,50601
10.0.2.200,50605
10.0.2.200,50615
10.0.2.200,50619
10.0.2.200,50677
10.0.2.200,50678
10.0.2.200,49201
10.0.2.200,49206
10.0.2.200,49214
10.0.2.200,49222
10.0.2.200,49226
10.0.2.200,49233
10.0.2.200,49237
10.0.2.200,49265
10.0.2.200,49276
10.0.2.200,49280
88.221.92.185,80
10.0.2.200,49298
10.0.2.200,49302
10.0.2.200,49311
10.0.2.200,49315
10.0.2.200,49327
10.0.2.200,49336
10.0.2.200,49341
10.0.2.200,49342
10.0.2.200,49345
10.0.2.200,49350
10.0.2.200,61306
10.0.2.200,61307
10.0.2.200,49357
10.0.2.200,49363
10.0.2.200,49371
10.0.2.200,49383
10.0.2.200,49384
195.113.232.81,80
195.113.232.82,80
213.155.158.113,80
4.26.67.139,80
10.0.2.200,49391
104.109.109.106,80
104.109.99.165,80
10.0.2.200,49394
10.0.2.200,49406
23.235.43.65,80
104.96.145.140,80
10.0.2.200,49448
54.239.168.123,80
10.0.2.200,49469
10.0.2.200,49472
10.0.2.200,49486
10.0.2.200,49471
54.230.200.71,80
95.100.140.168,80
10.0.2.200,49496
10.0.2.200,49491
10.0.2.200,49490
10.0.2.200,49533
10.0.2.200,49614
10.0.2.200,49624
10.0.2.200,49623
10.0.2.200,49631
10.0.2.200,49630
10.0.2.200,49644
10.0.2.200,49651
10.0.2.200,49657
10.0.2.200,49658
10.0.2.200,49662
10.0.2.200,49663
10.0.2.200,49664
10.0.2.200,49668
10.0.2.200,49669
10.0.2.200,49672
10.0.2.200,49673
10.0.2.200,49674
10.0.2.200,49676
10.0.2.200,49677
10.0.2.200,49678
10.0.2.200,49680
10.0.2.200,49681
10.0.2.200,49685
10.0.2.200,49689
10.0.2.200,62936
10.0.2.200,62937
10.0.2.200,49693
10.0.2.200,49695
10.0.2.200,49696
10.0.2.200,49707
10.0.2.200,49717
10.0.2.200,49720
10.0.2.200,49724
10.0.2.200,49738
10.0.2.200,49740
10.0.2.200,49744
10.0.2.200,49750
10.0.2.200,49754
10.0.2.200,49756
10.0.2.200,49759
10.0.2.200,49760
10.0.2.200,49766
10.0.2.200,49768
10.0.2.200,49774
10.0.2.200,49776
10.0.2.200,49780
10.0.2.200,49799
10.0.2.200,49803
10.0.2.200,49809
10.0.2.200,49811
10.0.2.200,49813
10.0.2.200,49814
10.0.2.200,49815
10.0.2.200,49820
10.0.2.200,49824
10.0.2.200,49825
10.0.2.200,49831
10.0.2.200,49835
10.0.2.200,49836
95.213.134.121,80
10.0.2.200,49837
10.0.2.200,49839
10.0.2.200,49840
10.0.2.200,49855
10.0.2.200,49856
10.0.2.200,49863
10.0.2.200,49865
10.0.2.200,49872
10.0.2.200,49874
67.225.219.169,80
10.0.2.200,49881
10.0.2.200,49880
10.0.2.200,49876
10.0.2.200,49877
10.0.2.200,49879
10.0.2.200,49891
75.98.93.66,80
10.0.2.200,49900
10.0.2.200,49901
10.0.2.200,49902
199.115.119.48,80
10.0.2.200,49964
23.63.96.223,80
10.0.2.200,49990
10.0.2.200,50014
10.0.2.200,50023
10.0.2.200,50027
10.0.2.200,50034
10.0.2.200,50039
10.0.2.200,50040
